course_title,institution,course_id
Machine Learning,Stanford University,machine-learning
Indigenous Canada,University of Alberta,indigenous-canada
The Science of Well-Being,Yale University,the-science-of-well-being
Technical Support Fundamentals,Google,technical-support-fundamentals
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,google-cbrs-cpi-training
Financial Markets,Yale University,financial-markets-global
Introduction to Psychology,Yale University,introduction-psychology
Programming for Everybody (Getting Started with Python),University of Michigan,python
The Bits and Bytes of Computer Networking,Google,computer-networking
AI For Everyone,DeepLearning.AI,ai-for-everyone
Crash Course on Python,Google,python-crash-course
Psychological First Aid,Johns Hopkins University,psychological-first-aid
Neural Networks and Deep Learning,DeepLearning.AI,neural-networks-deep-learning
What is Data Science?,IBM,what-is-datascience
Successful Negotiation: Essential Strategies and Skills,University of Michigan,negotiation-skills
Fundamentals of Project Planning and Management,University of Virginia,uva-darden-project-management
Project Launch,"University of California, Irvine",project-management
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,brand
Writing in the Sciences,Stanford University,sciwrite
Stanford Introduction to Food and Health,Stanford University,food-and-health
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,html-css-javascript-for-web-developers
Excel Skills for Business: Essentials,Macquarie University,excel-essentials
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,negotiation
"Everyday Excel, Part 1",University of Colorado Boulder,everyday-excel-part-1
Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,learning-how-to-learn
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,gcp-fundamentals
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,wharton-contagious-viral-marketing
Python Data Structures,University of Michigan,python-data
Private Equity and Venture Capital,Università Bocconi,private-equity
First Step Korean,Yonsei University,learn-korean
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,introduction-tensorflow
Operating Systems and You: Becoming a Power User,Google,os-power-user
Tools for Data Science,IBM,open-source-tools-for-data-science
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,deep-neural-network
Diversity and inclusion in the workplace,ESSEC Business School,diversity-inclusion-workplace
Design and Interpretation of Clinical Trials,Johns Hopkins University,clinical-trials
Visual Elements of User Interface Design,California Institute of the Arts,visual-elements-user-interface-design
Management of Fashion and Luxury Companies,Università Bocconi,mafash
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,pap
Social Psychology,Wesleyan University,social-psychology
Initiating and Planning Projects,"University of California, Irvine",project-planning
Computational Thinking for Problem Solving,University of Pennsylvania,computational-thinking-problem-solving
Agile with Atlassian Jira,Atlassian,agile-atlassian-jira
Fundamentals of Graphic Design,California Institute of the Arts,fundamentals-of-graphic-design
Introduction to User Experience Design,Georgia Institute of Technology,user-experience-design
Introduction to Marketing,University of Pennsylvania,wharton-marketing
Python for Data Science and AI,IBM,python-for-applied-data-science-ai
Marketing Analytics,University of Virginia,uva-darden-market-analytics
Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,classification-vector-spaces-in-nlp
Fundamentals of Quantitative Modeling,University of Pennsylvania,wharton-quantitative-modeling
How to Manage a Remote Team,GitLab,remote-team-management
Mathematics for Machine Learning: Linear Algebra,Imperial College London,linear-algebra-machine-learning
Introduction to Data Science in Python,University of Michigan,python-data-analysis
Customer Analytics,University of Pennsylvania,wharton-customer-analytics
Introduction to Psychology,University of Toronto,introduction-psych
English for Career Development,University of Pennsylvania,careerdevelopment
Global Diplomacy – Diplomacy in the Modern World,University of London,global-diplomacy
SQL for Data Science,"University of California, Davis",sql-for-data-science
Write Professional Emails in English,Georgia Institute of Technology,professional-emails-english
Medical Neuroscience,Duke University,medical-neuroscience
System Administration and IT Infrastructure Services,Google,system-administration-it-infrastructure-services
International Women's Health and Human Rights,Stanford University,womens-health-human-rights
Child Nutrition and Cooking,Stanford University,childnutrition
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,neurobiology
