course_title,num_subscribers,course_type,course_level,subject,language,price_certification,institution
How to Learn Online,124980,Self-paced,Introductory,Education & Teacher Training,English,49.0,edX
Programming for Everybody (Getting Started with Python),293864,Self-paced,Introductory,Computer Science,English,49.0,The University of Michigan
CS50's Introduction to Computer Science,2442271,Self-paced,Introductory,Computer Science,English,90.0,Harvard University
The Analytics Edge,129555,Instructor-led,Intermediate,Data Analysis & Statistics,English,199.0,Massachusetts Institute of Technology
Marketing Analytics: Marketing Measurement Strategy,81140,Self-paced,Introductory,Computer Science,English,249.0,"University of California, Berkeley"
Introduction to Project Management,301793,Self-paced,Introductory,Business & Management,English,199.0,University of Adelaide
Leading High-Performing Teams,32847,Self-paced,Intermediate,Communication,English,5.0,The University of Queensland
The Foundations of Happiness at Work,67073,Self-paced,Introductory,Business & Management,English,199.0,"University of California, Berkeley"
"Managing Study, Stress and Mental Health at University",23061,Self-paced,Introductory,Health & Safety,English,49.0,Curtin University
Six Sigma: Define and Measure,92411,Self-paced,Introductory,Business & Management,English,99.0,Technische Universität München
Fat Chance: Probability from the Ground Up,66835,Self-paced,Introductory,Math,English,49.0,Harvard University
Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Self-paced,Introductory,Communication,English,49.0,National Research Nuclear University
Bitcoin and Cryptocurrencies,83398,Self-paced,Introductory,Computer Science,English,99.0,"University of California, Berkeley"
English Grammar and Style,52141,Instructor-led,Introductory,Humanities,English,99.0,The University of Queensland
Ethics in Action,6366,Self-paced,Intermediate,Ethics,English,49.0,SDG Academy
Introduction to FinTech,72767,Self-paced,Introductory,Economics & Finance,English,199.0,University of Hong Kong
Data Science: R Basics,528782,Self-paced,Introductory,Data Analysis & Statistics,English,49.0,Harvard University
Python Basics for Data Science,228809,Self-paced,Introductory,Data Analysis & Statistics,English,39.0,IBM
The Science of Beer,39085,Self-paced,Introductory,Food & Nutrition,English,49.0,Wageningen University & Research
Strategic Social Media Marketing,103640,Instructor-led,Advanced,Business & Management,English,399.0,Boston University
CS50's Introduction to Artificial Intelligence with Python,258006,Self-paced,Introductory,Computer Science,English,199.0,Harvard University
CS50's Introduction to Game Development,346748,Self-paced,Intermediate,Computer Science,English,149.0,Harvard University
Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Self-paced,Introductory,Humanities,English,99.0,Harvard University
CS50's Web Programming with Python and JavaScript,698950,Self-paced,Intermediate,Computer Science,English,90.0,Harvard University
Contract Law: From Trust to Promise to Contract,414181,Self-paced,Intermediate,Business & Management,English,125.0,Harvard University
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Self-paced,Introductory,Biology & Life Sciences,English,99.0,Harvard University
Justice,392588,Self-paced,Introductory,Humanities,English,99.0,Harvard University
Data Science: Machine Learning,276209,Self-paced,Introductory,Data Analysis & Statistics,English,49.0,Harvard University
Child Protection: Children's Rights in Theory and Practice,212453,Self-paced,Introductory,Social Sciences,English,99.0,Harvard University
IELTS Academic Test Preparation,1103777,Self-paced,Introductory,Communication,English,99.0,The University of Queensland
The Architectural Imagination,406181,Self-paced,Introductory,Architecture,English,99.0,Harvard University
TOEFL® Test Preparation: The Insider’s Guide,1022489,Self-paced,Introductory,Communication,English,49.0,Educational Testing Service
Principles of Biochemistry,257600,Self-paced,Intermediate,Medicine,English,199.0,Harvard University
Using Python for Research,262183,Self-paced,Intermediate,Computer Science,English,99.0,Harvard University
Hinduism Through Its Scriptures,140782,Self-paced,Introductory,Humanities,English,99.0,Harvard University
Basic Spanish 1: Getting Started,400169,Self-paced,Introductory,Communication,English,40.0,Universitat Politècnica de Valencia
The Health Effects of Climate Change,110024,Self-paced,Introductory,Environmental Studies,English,99.0,Harvard University
Inglés básico: conversacional y networking,79671,Self-paced,Introductory,Business & Management,Español,49.0,Universidades Anáhuac
Statistics and R,314586,Self-paced,Intermediate,Data Analysis & Statistics,English,249.0,Harvard University
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Self-paced,Introductory,Chemistry,English,199.0,Harvard University
Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Self-paced,Introductory,Art & Culture,English,99.0,Harvard University
"PredictionX: Omens, Oracles & Prophecies",91566,Self-paced,Introductory,Social Sciences,English,25.0,Harvard University
Excel: Fundamentos y herramientas,284279,Self-paced,Introductory,Computer Science,Español,50.0,Universitat Politècnica de Valencia
Lessons from Ebola: Preventing the Next Pandemic,91983,Self-paced,Introductory,Social Sciences,English,49.0,Harvard University
Improving Global Health: Focusing on Quality and Safety,127353,Self-paced,Intermediate,Social Sciences,English,99.0,Harvard University
CS50 for Lawyers,87336,Self-paced,Introductory,Computer Science,English,99.0,Harvard University
Data Science: Visualization,171258,Self-paced,Introductory,Data Analysis & Statistics,English,49.0,Harvard University
Christianity Through Its Scriptures,125051,Self-paced,Introductory,Humanities,English,99.0,Harvard University
The Science of Happiness,475614,Self-paced,Introductory,Social Sciences,English,169.0,"University of California, Berkeley"
Leaders of Learning,231131,Self-paced,Introductory,Communication,English,99.0,Harvard University
Exercising Leadership: Foundational Principles,57814,Self-paced,Introductory,Business & Management,English,99.0,Harvard University
Data Science: Probability,135859,Self-paced,Introductory,Data Analysis & Statistics,English,49.0,Harvard University
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Self-paced,Intermediate,Education & Teacher Training,English,70.0,Harvard University
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Self-paced,Introductory,Medicine,English,99.0,Harvard University
Introduction to Family Engagement in Education,105146,Self-paced,Introductory,Education & Teacher Training,English,70.0,Harvard University
Italian Language and Culture: Beginner (2019-2020),182462,Self-paced,Introductory,Language,another language,49.0,Wellesley College
Steps in Japanese for Beginners1 Part1,53630,Self-paced,Introductory,Language,English,49.0,Waseda University
How to Write an Essay,306787,Self-paced,Introductory,Humanities,English,49.0,"University of California, Berkeley"
Energy Within Environmental Constraints,95324,Self-paced,Introductory,Environmental Studies,English,99.0,Harvard University
Introduction to Probability,97291,Self-paced,Intermediate,Data Analysis & Statistics,English,99.0,Harvard University
AnatomyX: Musculoskeletal Cases,102075,Self-paced,Intermediate,Medicine,English,99.0,Harvard University
Data Science: Inference and Modeling,88256,Self-paced,Introductory,Data Analysis & Statistics,English,49.0,Harvard University
Strengthening Community Health Worker Programs,58626,Self-paced,Introductory,Health & Safety,English,79.0,Harvard University
