course_id,course_title,is_paid,price,num_subscribers,num_reviews,course_level,subject,date_published
1070968,Ultimate Investment Banking Course,True,200,2147,23,All,Business Finance,2017-01-18 20:58:58+00:00
1113822,Complete GST Course & Certification - Grow Your CA Practice,True,75,2792,923,All,Business Finance,2017-03-09 16:34:20+00:00
1006314,Financial Modeling for Business Analysts and Consultants,True,45,2174,74,Intermediate,Business Finance,2016-12-19 19:26:30+00:00
1210588,Beginner to Pro - Financial Analysis in Excel 2017,True,95,2451,11,All,Business Finance,2017-05-30 20:07:24+00:00
1011058,How To Maximize Your Profits Trading Options,True,200,1276,45,Intermediate,Business Finance,2016-12-13 14:57:18+00:00
192870,Trading Penny Stocks: A Guide for All Levels In 2017,True,150,9221,138,All,Business Finance,2014-05-02 15:13:30+00:00
739964,Investing And Trading For Beginners: Mastering Price Charts,True,65,1540,178,Introductory,Business Finance,2016-02-21 18:23:12+00:00
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",True,95,2917,148,All,Business Finance,2015-01-30 22:13:03+00:00
476268,Options Trading 3 : Advanced Stock Profit and Success Method,True,195,5172,34,Advanced,Business Finance,2015-05-28 00:14:03+00:00
1167710,The Only Investment Strategy You Need For Your Retirement,True,200,827,14,All,Business Finance,2017-04-18 18:13:32+00:00
592338,Forex Trading Secrets of the Pros With Amazon's AWS,True,200,4284,93,All,Business Finance,2015-09-11 16:47:02+00:00
975046,Trading Options With Money Flow,True,200,1380,42,All,Business Finance,2016-10-18 22:52:31+00:00
742602,Financial Management Risk and Return For Securities,True,30,3607,21,All,Business Finance,2016-02-03 18:04:01+00:00
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,True,195,4061,52,All,Business Finance,2016-03-16 15:40:19+00:00
1196544,Python Algo Trading: Sentiment Trading with News,True,200,294,19,All,Business Finance,2017-04-28 16:41:44+00:00
504036,Short Selling: Learn To Sell Stocks Before The Fall,True,75,2276,106,Intermediate,Business Finance,2015-06-22 21:18:35+00:00
719698,Basic Technical Analysis: Learn the structure of the market,True,20,4919,79,Introductory,Business Finance,2016-01-08 17:21:26+00:00
564966,The Complete Chart Pattern Trading Course: A Proven Approach,True,200,2666,115,All,Business Finance,2015-08-10 21:07:35+00:00
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,True,50,5354,24,All,Business Finance,2015-09-21 18:10:34+00:00
58977,Financial Statements Made Easy,True,95,8095,249,Introductory,Business Finance,2013-06-09 00:21:26+00:00
1242604,Winning Forex Trading with Live Forex Trading Examples,True,200,809,3,All,Business Finance,2017-06-06 02:54:04+00:00
798740,Forex Traders - Create Your First Trading Robot. No Coding!,True,200,2295,84,All,Business Finance,2016-05-02 19:26:48+00:00
506568,Create A Business From Home Trading Stocks Today In 2017,True,75,10149,83,All,Business Finance,2015-05-26 17:25:46+00:00
1020760,Introduction to Accounting : Mastering Financial Statements,True,50,1916,38,Introductory,Business Finance,2016-12-05 22:14:17+00:00
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,True,45,2507,333,All,Business Finance,2016-05-30 18:53:46+00:00
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,True,150,5786,518,All,Business Finance,2015-01-31 15:34:05+00:00
353044,Investing 101: The Complete Online Investing Course,True,200,5334,373,All,Business Finance,2014-11-28 17:49:03+00:00
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,True,175,4005,237,Intermediate,Business Finance,2015-04-12 20:13:47+00:00
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),True,150,2877,103,All,Business Finance,2016-04-26 22:41:46+00:00
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,True,140,1026,25,Introductory,Business Finance,2017-06-27 22:21:31+00:00
1170894,Python Algo Stock Trading: Automate Your Trading!,True,95,1165,21,Introductory,Business Finance,2017-05-28 23:41:03+00:00
948974,THE Forex Robot: Incredible ROI (Robot Included),True,200,1843,171,All,Business Finance,2016-10-04 15:20:57+00:00
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,True,45,8797,449,All,Business Finance,2015-01-09 03:55:15+00:00
1217778,Mastering High Probability Iron Condor Options Trading,True,200,1030,11,All,Business Finance,2017-06-01 05:22:08+00:00
1246208,The Complete Short Course on Ethereum,True,200,1041,12,All,Business Finance,2017-06-11 19:02:03+00:00
